,,,53,=
EXPRESSION,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,],=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RESTEXPRESSION,"{'',=}","{),;,,,],=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
LOGICALOR,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,],||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RESTLOGICALOR,"{'',||}","{),;,,,=,],||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
LOGICALAND,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,],&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RESTLOGICALAND,"{'',&&}","{),;,,,=,||,],&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
BITWISEOR,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,],|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RESTBITWISEOR,"{'',|}","{),;,,,=,||,&&,],|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
BITWISEXOR,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,],^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RESTBITWISEXOR,"{'',^}","{),;,,,=,||,&&,|,],^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
BITWISEAND,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,],&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RESTBITWISEAND,"{'',&}","{),;,,,=,||,&&,|,^,],&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
EQUALITY,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,],==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RESTEQUALITY,"{'',==,!=}","{),;,,,=,||,&&,|,^,&,],==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%}",,
EQUALITYOPERATOR,"{==,!=}","{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}",,
RELATION,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,==,!=,],<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RESTRELATION,"{'',<,<=,>,>=}","{),;,,,=,||,&&,|,^,&,==,!=,],<,<=,>,>=,<<,>>,+,-,*,/,%}",,
RELATIONOPERATOR,"{<,<=,>,>=}","{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}",,
SHIFT,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,],<<,>>,+,-,*,/,%}",,
RESTSHIFT,"{'',<<,>>}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,],<<,>>,+,-,*,/,%}",,
SHIFTOPERATOR,"{<<,>>}","{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}",,
ADDITION,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,],+,-,*,/,%}",,
RESTADDITION,"{'',+,-}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,],+,-,*,/,%}",,
ADDITIONOPERATOR,"{+,-}","{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}",,
MULTIPLICATION,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,],*,/,%}",,
RESTMULTIPLICATION,"{'',*,/,%}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,],*,/,%}",,
MULTIPLICATIONOPERATOR,"{*,/,%}","{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}",,
UNARY3,"{&,*,-,IDENTIFIER,(,+,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%,]}",,
UNARY3OPERATOR,"{&,*,-}","{IDENTIFIER,(,+,-,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}",,
UNARY2,"{IDENTIFIER,(,+,-,!,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%,]}",,
UNARY2OPERATOR,"{+,-,!}","{IDENTIFIER,(,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}",,
FACTOR,"{IDENTIFIER,(,true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%,]}",,
APPLICATION,"{[,(}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%,]}",,
MOREEXPRESSION,"{'',,}",{)},,
TYPE,"{bool,char,float,int,untyped}","{=>,;,*,IDENTIFIER,,,{,[]}",,
IMMEDIATE,"{true,false,CHAR_LITERAL,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL}","{),;,,,=,||,&&,|,^,&,==,!=,<,<=,>,>=,<<,>>,+,-,*,/,%,]}",,
